%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.1899662381,-0.006926462111,-0.002431922192,3.361008155,-0.01202304388,2.11041355,0.01424021503,-0.01204193041,-1.488775493e-07,1.135295798e-07,8.509002211e-06,-8.033339417e-11,2254.86377,-2282.989029,24.40452245,7.100314804,0,0,0,-0.675521333,1.98484004,-0.002426806045
-0.163694796,-0.006871769919,0.0004376977711,-1.373310121,0.0002309295943,2.099070929,0.01193942796,0.0001645516584,1.488042445e-08,3.088017065e-07,7.343377086e-05,5.562101853e-11,2254.86377,-2258.416318,-4.491642249,7.044255035,0,0,0,5.293378767,1.98483997,0.0004466527523
-0.1626866194,-0.006928380261,-0.0001523712705,6.378695503,-0.002786792995,2.098422928,-0.004243570326,-0.002789163072,8.985932418e-09,2.168533343e-07,7.679256681e-05,-2.384589719e-09,2254.86377,-2256.972883,1.407657255,7.102281277,0,0,0,6.047515308,1.984840042,-0.0001399785806
-0.1681205686,-0.006823429796,-0.001616057978,-1.729165033,0.005531951556,2.108703305,-0.009686701753,0.005728318315,2.415490496e-08,4.485563511e-07,6.959700398e-05,1.737977824e-10,2254.86377,-2279.323165,16.19627079,6.994693698,0,0,0,4.53922071,1.98484,-0.001610570656
-0.1833701069,-0.007007332944,0.001647457273,0.5739384971,0.001184461239,2.092749718,0.003863942863,0.001179525881,-3.517213683e-07,2.833509231e-07,3.309582954e-05,6.643165467e-11,2254.86377,-2244.772853,-16.69881542,7.183220107,0,0,0,-3.430130509,1.984840087,0.001660544176
-0.1806675096,-0.006995446119,0.001283070708,-0.2140238982,0.0007536815747,2.094824863,0.001921656045,0.0007522119077,-3.181083491e-07,1.730983701e-07,3.947556574e-05,-6.650717416e-13,2254.86377,-2249.220644,-13.0277335,7.171033047,0,0,0,-4.189197747,1.984839908,0.001295488661
-0.1647149292,-0.006996624531,0.002235408994,-1.576910011,0.01639421414,2.090832637,-0.01702246934,0.01636962693,5.8621574e-09,1.58455173e-07,7.85394415e-05,6.473531834e-09,2254.86377,-2240.738366,-22.66698602,7.172237583,0,0,0,6.80162639,1.984839995,0.002254024023
-0.1540851549,-0.006808535157,6.129493746e-05,27.29079914,0.05340832433,2.086519162,0.01224765239,0.05331366716,-1.023352007e-10,1.016210522e-08,1.317617705e-05,-1.32075343e-07,2254.86377,-2232.995268,-0.6669027234,6.979430278,0,0,0,11.32615043,1.984840042,6.631733811e-05
-0.1692903012,-0.006806499753,0.005818208312,-24.32351279,-0.002338751477,2.084714387,-0.003813486686,-0.002402061744,-2.413059089e-10,7.65911291e-09,3.333517603e-05,2.595726219e-06,2254.86377,-2227.46782,-58.57223519,6.977344072,0,0,0,12.08020565,1.984840061,0.00582447188
-0.1742886333,-0.006880707974,-0.00536582608,1.14956992,0.0009511931556,2.125096108,-0.003095311419,0.000926312983,-1.066444804e-07,6.481574322e-08,5.827153178e-06,1.259588192e-10,2254.86377,-2314.672473,53.94608845,7.053409434,0,0,0,-0.002472261434,1.984840061,-0.005364444122
